{name}, {compute_area_mm2+io_area_mm2}, {auto_regression_latency_simulated}, {auto_regression_latency_simulated*n_layers}, {qkv_latency}, {q_mul_k_latency}, {a_mul_v_latency}, {h_matmul0_latency}, {h1_matmul1_latency}, {h2_matmul2_latency}, {softmax_latency}, {layernorm_latency}, {layernorm_latency}, {gelu_latency}, {allreduce_latency}, {allreduce_latency}"
Batch1_Input8192_Output1, 637.3805587002909, 0.00048360743218085105, 0.015475437829787234, 9.5792e-05, 6.504808333333333e-05, 6.504808333333333e-05, 4.2856e-05, 9.748266666666667e-05, 9.748266666666667e-05, 1.454082225177305e-05, 4.518297872340426e-05, 4.518297872340426e-05, 4.508731914893617e-05, 0, 0
Batch2_Input8192_Output1, 637.3805587002909, 0.00040904856838187213, 0.013089554188219908, 8.466520295759771e-05, 0.00010909616666666666, 0.00010909616666666666, 3.5119918515165233e-05, 6.874388109250038e-05, 6.906801971731805e-05, 1.5920567375886525e-05, 4.52e-05, 4.52e-05, 4.513097872340426e-05, 0, 0
Batch4_Input8192_Output1, 637.3805587002909, 0.00041194102308736983, 0.013182112738795835, 8.469703234243749e-05, 0.00019719233333333333, 0.00019719233333333333, 3.5127372868567976e-05, 6.878021226296464e-05, 6.909470348574016e-05, 1.8563829787234043e-05, 4.522978723404256e-05, 4.522978723404256e-05, 4.521829787234043e-05, 0, 0
Batch8_Input8192_Output1, 637.3805587002909, 0.0004168546382978723, 0.013339348425531914, 8.478003621548212e-05, 0.0003733846666666667, 0.0003733846666666667, 3.516080177053469e-05, 6.885600824908202e-05, 6.919535234646145e-05, 2.257304964539007e-05, 4.544822695035461e-05, 4.544822695035461e-05, 4.539293617021277e-05, 0, 0
Batch16_Input8192_Output1, 637.3805587002909, 0.00042629404617473967, 0.01364140947759167, 8.493349429103164e-05, 0.0007257693333333333, 0.0007257693333333333, 3.522836879432624e-05, 6.897801418439716e-05, 6.939777174186407e-05, 3.059007092198582e-05, 4.571205673758865e-05, 4.571205673758865e-05, 4.574221276595745e-05, 0, 0
Batch32_Input8192_Output1, 637.3805587002909, 0.0004460963716110861, 0.014275083891554755, 8.539732910819375e-05, 0.0014305386666666666, 0.0014305386666666666, 3.542053719631809e-05, 6.928201297721446e-05, 6.984610935063633e-05, 4.7901418439716315e-05, 4.58822695035461e-05, 4.58822695035461e-05, 4.64844255319149e-05, 0, 0
Batch64_Input8192_Output1, 637.3805587002909, 0.000484662780141844, 0.015509208964539008, 8.631017554448972e-05, 0.0028400773333333335, 0.0028400773333333335, 3.5779628791308285e-05, 7.0171369649414e-05, 7.077996076656104e-05, 8.12482269503546e-05, 4.622411347517731e-05, 4.622411347517731e-05, 4.7925191489361707e-05, 0, 0
Batch1_Input16384_Output1, 637.3805587002909, 0.0004861314038120567, 0.015556204921985815, 9.5792e-05, 0.00010908008333333332, 0.00010908008333333332, 4.2856e-05, 9.748266666666667e-05, 9.748266666666667e-05, 1.7064793882978722e-05, 4.518297872340426e-05, 4.518297872340426e-05, 4.508731914893617e-05, 0, 0
Batch2_Input16384_Output1, 637.3805587002909, 0.0004129648804386097, 0.01321487617403551, 8.466520295759771e-05, 0.00019716016666666665, 0.00019716016666666665, 3.5119918515165233e-05, 6.874388109250038e-05, 6.906801971731805e-05, 1.9836879432624113e-05, 4.52e-05, 4.52e-05, 4.513097872340426e-05, 0, 0
Batch4_Input16384_Output1, 637.3805587002909, 0.0004184970514561642, 0.013391905646597254, 8.469703234243749e-05, 0.00037332033333333333, 0.00037332033333333333, 3.5127372868567976e-05, 6.878021226296464e-05, 6.909470348574016e-05, 2.511985815602837e-05, 4.522978723404256e-05, 4.522978723404256e-05, 4.521829787234043e-05, 0, 0
Batch8_Input16384_Output1, 637.3805587002909, 0.0004274163404255319, 0.013677322893617021, 8.478003621548212e-05, 0.0007256406666666666, 0.0007256406666666666, 3.516080177053469e-05, 6.885600824908202e-05, 6.919535234646145e-05, 3.3134751773049647e-05, 4.544822695035461e-05, 4.544822695035461e-05, 4.539293617021277e-05, 0, 0
Batch16_Input16384_Output1, 637.3805587002909, 0.00044486709582012977, 0.014235747066244153, 8.493349429103164e-05, 0.0014302813333333332, 0.0014302813333333332, 3.522836879432624e-05, 6.897801418439716e-05, 6.939777174186407e-05, 4.9163120567375884e-05, 4.571205673758865e-05, 4.571205673758865e-05, 4.574221276595745e-05, 0, 0
Batch32_Input16384_Output1, 637.3805587002909, 0.00048196871203661797, 0.015422998785171775, 8.539732910819375e-05, 0.0028395626666666667, 0.0028395626666666667, 3.542053719631809e-05, 6.928201297721446e-05, 6.984610935063633e-05, 8.377375886524821e-05, 4.58822695035461e-05, 4.58822695035461e-05, 4.64844255319149e-05, 0, 0
Batch64_Input16384_Output1, 637.3805587002909, 0.0005589620709219857, 0.017886786269503543, 8.631017554448972e-05, 0.005658125333333333, 0.005658125333333333, 3.5779628791308285e-05, 7.0171369649414e-05, 7.077996076656104e-05, 0.00015554751773049643, 4.622411347517731e-05, 4.622411347517731e-05, 4.7925191489361707e-05, 0, 0
Batch1_Input32768_Output1, 637.3805587002909, 0.0004911807655141844, 0.0157177844964539, 9.5792e-05, 0.00019714408333333333, 0.00019714408333333333, 4.2856e-05, 9.748266666666667e-05, 9.748266666666667e-05, 2.211415558510638e-05, 4.518297872340426e-05, 4.518297872340426e-05, 4.508731914893617e-05, 0, 0
Batch2_Input32768_Output1, 637.3805587002909, 0.00042079608611236857, 0.013465474755595794, 8.466520295759771e-05, 0.0003732881666666667, 0.0003732881666666667, 3.5119918515165233e-05, 6.874388109250038e-05, 6.906801971731805e-05, 2.766808510638298e-05, 4.52e-05, 4.52e-05, 4.513097872340426e-05, 0, 0
Batch4_Input32768_Output1, 637.3805587002909, 0.00043160910819375285, 0.013811491462200091, 8.469703234243749e-05, 0.0007255763333333333, 0.0007255763333333333, 3.5127372868567976e-05, 6.878021226296464e-05, 6.909470348574016e-05, 3.823191489361702e-05, 4.522978723404256e-05, 4.522978723404256e-05, 4.521829787234043e-05, 0, 0
Batch8_Input32768_Output1, 637.3805587002909, 0.000448539744680851, 0.014353271829787233, 8.478003621548212e-05, 0.0014301526666666666, 0.0014301526666666666, 3.516080177053469e-05, 6.885600824908202e-05, 6.919535234646145e-05, 5.4258156028368795e-05, 4.544822695035461e-05, 4.544822695035461e-05, 4.539293617021277e-05, 0, 0
Batch16_Input32768_Output1, 637.3805587002909, 0.0004820146135506262, 0.015424467633620039, 8.493349429103164e-05, 0.0028393053333333335, 0.0028393053333333335, 3.522836879432624e-05, 6.897801418439716e-05, 6.939777174186407e-05, 8.631063829787235e-05, 4.571205673758865e-05, 4.571205673758865e-05, 4.574221276595745e-05, 0, 0
Batch32_Input32768_Output1, 637.3805587002909, 0.0005639204850862633, 0.018045455522760427, 8.539732910819375e-05, 0.005657610666666667, 0.005657610666666667, 3.542053719631809e-05, 6.928201297721446e-05, 6.984610935063633e-05, 0.00016572553191489362, 4.58822695035461e-05, 4.58822695035461e-05, 4.64844255319149e-05, 0, 0
